cycle,ECG_a_P,ECG_P_b,ECG_b_c,ECG_c_Q,ECG_Q_R,ECG_R_S,ECG_S_d,ECG_d_e,ECG_e_T,ECG_T_f,ECG_S_T,ECG_P_peak,ECG_Q_peak,ECG_R_peak,ECG_S_peak,ECG_T_peak,ECG_RRI,TYPE,PR_interval,PR_segment,QRS_complex,ST_segment,QT_interval
0.032,0.055,0.015,0.03,0.027,0.2,,0.2,0,0.241,0.085449,-0.09964,2.02988,-0.651855,0.220184,0.824,normal,0.135,0.055,0.327,,,,
0.03,0.046,0.071,0.01,0.032,0.026,0.083,0.072,0.098,0,0.253,0.090485,-0.04364,0.836334,-0.368652,0.283813,0.993,normal,0.147,0.071,0.222,0.072,0.321,
50,0.035,0.039,0.157,0.014,0.03,0.024,0.036,0.007,0.035,0,0.078,0.063782,-0.038452,0.757294,-0.585175,0.139313,1.091,stroke,0.231,0.157,0.261,0.007,0.146
0.03,0.03,0.07,0.011,0.035,0.026,0.014,0.251,0.03,0,0.295,0.06134,-0.04837,1.0051,-0.34668,0.12207,1.052,normal,0.13,0.07,0.156,0.251,0.367,
0.043,0.033,0.043,0.001,0.051,0.027,0.05,0.15,0.031,0,0.231,0.092468,-0.072937,0.760956,-0.586395,0.092926,0.813,normal,0.119,0.043,0.172,0.15,0.31,
0.048,0.027,0.005,0.056,0.022,0.039,0.11,0.032,0,0.181,0.071259,-0.058594,0.531769,-0.331573,0.037079,0.743,normal,0.127,0.027,0.149,0.11,0.264,,
0.031,0.056,0.068,0.001,0.06,0.052,0.2,,0.2,0,0.21,0.14679,-0.037537,1.73965,-0.493774,0.248413,0.95,normal,0.155,0.068,0.381,,,
0.03,0.03,0.004,0.008,0.036,0.02,0.024,0.166,0.03,0,0.22,0.073853,0.016632,0.815125,-0.548859,0.344696,0.823,normal,0.064,0.004,0.092,0.166,0.284,
39,0.031,0.031,0.005,0.001,0.059,0.144,0.026,0.001,0.099,0,0.126,0.099487,-0.076294,0.460663,-0.137482,0.144348,0.987,stroke,0.067,0.005,0.235,0.001,0.33
0.032,0.056,0.076,0.001,0.059,0.03,0.055,0.095,0.072,0,0.222,0.086211,-0.035041,0.727731,-0.272102,0.10198,0.769,normal,0.164,0.076,0.221,0.095,0.312,
