cycle,ECG_a_P,ECG_P_b,ECG_b_c,ECG_c_Q,ECG_Q_R,ECG_R_S,ECG_S_d,ECG_d_e,ECG_e_T,ECG_T_f,ECG_S_T,ECG_P_peak,ECG_Q_peak,ECG_R_peak,ECG_S_peak,ECG_T_peak,ECG_RRI,TYPE,PR_interval,PR_segment,QRS_complex,ST_segment,QT_interval
0.056,0.06,0.014,0.001,0.059,0.022,0.192,,0.192,0,0.192,0.07843,-0.067902,1.22726,-0.761566,0.193024,0.693,normal,0.13,0.014,0.288,,,
24,0.035,0.047,0.043,0.003,0.055,0.028,0.059,0.155,0.046,0,0.26,0.082703,-0.03891,0.604706,-0.41275,0.095367,1.099,stroke,0.125,0.043,0.188,0.155,0.346
0.032,0.03,0.081,0.013,0.028,0.038,0.091,0.036,0.043,0,0.17,0.063477,-0.097351,1.427,-0.476379,0.097809,0.708,stroke,0.143,0.081,0.251,0.036,0.249,
34,0.051,0.031,0.08,0.001,0.06,0.022,0.068,0.161,0.03,0,0.259,0.046692,-0.004425,0.654602,-0.350647,0.068817,0.92,stroke,0.162,0.08,0.231,0.161,0.342
0.031,0.036,0.155,0.006,0.029,0.03,0.035,0.257,0.031,0,0.323,0.020447,0.003052,0.742188,-0.530243,0.071259,1.03,stroke,0.222,0.155,0.255,0.257,0.388,
0.041,0.043,0.105,0.014,0.027,0.031,0.091,0.138,0.058,0,0.287,0.071259,-0.067902,0.962219,-0.312195,0.115204,1.048,normal,0.189,0.105,0.268,0.138,0.359,
50,0.044,0.062,0.071,0.011,0.036,0.026,0.013,0.188,0.043,0,0.244,0.053711,-0.046234,0.564728,-0.171967,0.102844,0.737,stroke,0.177,0.071,0.157,0.188,0.317
0.032,0.034,0.097,0.012,0.032,0.031,0.067,0.118,0.031,0,0.216,0.024872,-0.02182,0.904541,-0.566254,0.08316,1.274,normal,0.163,0.097,0.239,0.118,0.291,
50,0.035,0.039,0.157,0.014,0.03,0.024,0.036,0.007,0.035,0,0.078,0.063782,-0.038452,0.757294,-0.585175,0.139313,1.091,stroke,0.231,0.157,0.261,0.007,0.146
0.043,0.031,0.079,0.001,0.06,0.025,0.06,0.089,0.051,0,0.2,0.048981,-0.043335,1.27304,-0.76828,0.127258,0.728,normal,0.153,0.079,0.225,0.089,0.286,
0.047,0.053,0.018,0.031,0.026,0.199,,0.2,0,0.243,0.088043,-0.087585,1.84372,-0.616455,0.205688,0.839,normal,0.141,0.053,0.327,,,,
0.03,0.042,0.054,0.002,0.06,0.026,0.09,0.072,0.094,0,0.256,0.090637,-0.043793,0.808716,-0.355377,0.278778,0.99,normal,0.126,0.054,0.232,0.072,0.344,
68,0.058,0.053,0.022,0.002,0.058,0.034,0.031,0.009,0.15,0,0.19,0.078278,-0.043793,0.699463,-0.305481,0.041809,0.824,stroke,0.133,0.022,0.147,0.009,0.284
58,0.031,0.031,0.124,0.022,0.022,0.042,0.002,0.19,0.036,0,0.228,0.065918,-0.154724,0.895386,-0.13916,0.102386,0.823,stroke,0.186,0.124,0.212,0.19,0.314
66,0.121,0.032,0.268,0.001,0.059,0.024,0.044,0.294,0.041,0,0.379,0.068359,-0.014038,0.699463,-0.382996,0.940857,0.572,stroke,0.421,0.268,0.396,0.294,0.463
0.069,0.069,0.026,0.014,0.033,0.05,0.004,0.001,0.187,0,0.192,0.149078,-0.163269,1.14594,-0.327301,0.098114,0.847,normal,0.164,0.026,0.127,0.001,0.289,
0.032,0.066,0.035,0.001,0.059,0.032,0.108,0.05,0.117,0,0.275,0.077057,-0.035095,1.14365,-0.594025,0.150604,1.054,normal,0.133,0.035,0.235,0.05,0.367,
8,0.042,0.05,0.007,0.001,0.06,0.031,0.079,0.006,0.118,0,0.203,0.097809,-0.083313,1.194,-0.68161,0.151367,0.729,stroke,0.099,0.007,0.178,0.006,0.295
0.031,0.062,0.051,0.018,0.03,0.037,0.014,0.001,0.199,0,0.214,0.090332,-0.135498,1.15921,-0.258789,0.217438,1.047,normal,0.144,0.051,0.15,0.001,0.299,
0.062,0.046,0.014,0.026,0.043,0.061,0.176,0.034,0,0.271,0.121918,-0.13504,1.01639,-0.370483,0.14679,0.998,normal,0.155,0.046,0.19,0.176,0.354,,
41,0.06,0.051,0.011,0.001,0.06,0.033,0.084,0.042,0.08,0,0.206,0.10498,-0.085144,1.22833,-0.688934,0.127258,0.716,stroke,0.122,0.011,0.189,0.042,0.3
0.042,0.036,0.061,0.001,0.06,0.025,0.034,0.143,0.051,0,0.228,0.083313,-0.057983,0.348816,-0.39978,0.119629,0.758,normal,0.139,0.061,0.181,0.143,0.314,
62,0.034,0.03,0.075,0.002,0.06,0.032,0.142,0.001,0.075,0,0.218,0.025024,-0.024109,1.17523,-0.372772,0.154266,0.708,stroke,0.139,0.075,0.311,0.001,0.312
0.064,0.055,0.07,0.009,0.032,0.027,0.05,0.123,0.053,0,0.226,0.117493,-0.053253,1.26984,-0.764008,0.19577,0.804,normal,0.189,0.07,0.188,0.123,0.294,
72,0.053,0.049,0.051,0.001,0.06,0.025,0.057,0.155,0.032,0,0.244,0.139465,-0.072479,0.597229,-0.32959,0.087891,0.698,stroke,0.153,0.051,0.194,0.155,0.33
0.044,0.072,0.06,0.011,0.031,0.056,0.003,0.169,0.063,0,0.235,0.11734,-0.055847,0.948639,-0.246735,0.124969,0.997,normal,0.176,0.06,0.161,0.169,0.333,
0.044,0.061,0.003,0.029,0.022,0.025,0.078,0.136,0,0.239,0.09491,-0.029907,0.815887,-0.367737,0.276031,0.949,normal,0.139,0.061,0.14,0.078,0.293,,
0.036,0.036,0.066,0.002,0.034,0.027,0.038,0.161,0.04,0,0.239,0.034943,0.005035,0.796509,-0.314178,0.136871,0.838,normal,0.138,0.066,0.167,0.161,0.302,
21,0.039,0.047,0.046,0.016,0.029,0.05,0.199,,0.199,0,0.227,0.092773,-0.128937,1.09207,-0.26886,0.217743,0.823,stroke,0.132,0.046,0.34,,
9,0.066,0.073,0.008,0.001,0.058,0.028,0.089,0.136,0.032,0,0.257,0.085144,-0.095062,0.738373,-0.344086,0.105133,0.9,stroke,0.147,0.008,0.184,0.136,0.344
39,0.03,0.051,0.037,0.001,0.06,0.025,0.029,0.163,0.039,0,0.231,0.095367,-0.06073,0.431824,-0.224457,0.176239,0.718,stroke,0.118,0.037,0.152,0.163,0.317
0.042,0.049,0.061,0.016,0.03,0.047,0.151,0.024,0.066,0,0.241,0.088043,-0.077972,0.882263,-0.260925,0.202942,0.965,normal,0.152,0.061,0.305,0.024,0.334,
0.037,0.042,0.15,0.001,0.058,0.025,0.052,0.162,0.032,0,0.246,0.1297,0.005341,0.746155,-0.691681,0.141754,1.083,normal,0.229,0.15,0.286,0.162,0.33,
10,0.05,0.057,0.03,0.001,0.06,0.031,0.081,0.1,0.036,0,0.217,0.134735,-0.070496,0.588531,-0.405273,0.080872,0.91,stroke,0.137,0.03,0.203,0.1,0.309
0.038,0.034,0.064,0.011,0.027,0.03,0.1,0.066,0.08,0,0.246,0.053864,-0.035858,0.936127,-0.36377,0.102539,1.046,normal,0.136,0.064,0.232,0.066,0.314,
54,0.032,0.031,0.077,0.001,0.06,0.032,0.092,0.075,0.052,0.067,0.219,0.046387,-0.019989,1.16837,-0.419769,0.197296,0.701,stroke,0.14,0.077,0.262,0.075,0.379
0.046,0.046,0.02,0.03,0.027,0.019,0.155,0.038,0,0.212,0.087891,-0.055695,1.10931,-0.29541,0.070953,1.128,normal,0.123,0.046,0.142,0.155,0.289,,
21,0.042,0.054,0.062,0.001,0.06,0.025,0.04,0.13,0.048,0,0.218,0.080414,-0.024567,0.458832,-0.453796,0.065918,0.896,stroke,0.158,0.062,0.188,0.13,0.304
27,0.058,0.063,0.028,0.001,0.06,0.026,0.076,0.114,0.066,0,0.256,0.10025,-0.036621,1.23108,-0.510101,0.266266,0.901,stroke,0.149,0.028,0.191,0.114,0.343
0.031,0.032,0.071,0.011,0.029,0.033,0.16,0.003,0.073,0,0.236,0.079728,-0.056365,1.46343,-0.541097,0.136845,1.029,normal,0.134,0.071,0.304,0.003,0.309,
0.059,0.056,0.024,0.001,0.06,0.03,0.033,0.102,0.077,0,0.212,0.111315,-0.089651,0.658438,-0.386153,0.201018,0.716,normal,0.139,0.024,0.148,0.102,0.303,
0.031,0.031,0.087,0.008,0.031,0.029,0.019,0.232,0.031,0,0.282,0.061035,-0.041046,0.737152,-0.31662,0.124359,1.127,normal,0.149,0.087,0.174,0.232,0.35,
0.043,0.049,0.052,0.011,0.03,0.033,0.049,0.1,0.08,0,0.229,0.148926,-0.11673,1.1972,-0.535583,0.295258,0.918,normal,0.144,0.052,0.175,0.1,0.303,
0.031,0.036,0.109,0.007,0.056,0.035,0.037,0.193,0.034,0,0.264,0.087174,-0.012198,0.960785,-0.471969,0.182829,0.869,normal,0.176,0.109,0.244,0.193,0.362,
0.031,0.043,0.056,0.01,0.025,0.021,0.011,0.225,0.04,0,0.276,0.107117,-0.057983,0.791321,-0.168304,0.169983,1.117,normal,0.13,0.056,0.123,0.225,0.332,
0.041,0.032,0.063,0.003,0.06,0.03,0.035,0.155,0.052,0,0.242,0.058899,-0.016632,0.68161,-0.37674,0.115356,1.014,normal,0.136,0.063,0.191,0.155,0.335,
0.031,0.038,0.099,0.001,0.053,0.023,0.043,0.159,0.065,0,0.267,0.066223,-0.029297,0.466461,-0.436401,0.171356,0.911,normal,0.168,0.099,0.219,0.159,0.344,
0.059,0.055,0.076,0.001,0.028,0.03,0.094,0.116,0.031,0,0.241,0.078125,-0.068512,0.727386,-0.295258,0.085144,0.824,normal,0.19,0.076,0.229,0.116,0.3,
0.071,0.03,0.001,0.059,0.023,0.041,0.171,0.036,0,0.248,0.063464,-0.022878,0.858652,-0.768843,0.142654,0.843,normal,0.163,0.03,0.154,0.171,0.331,,
0.031,0.089,0.011,0.026,0.023,0.04,0.169,0.046,0,0.255,0.104523,-0.043182,1.11877,-0.407257,0.229645,0.927,normal,0.151,0.089,0.189,0.169,0.315,,
0.031,0.031,0.086,0.008,0.055,0.024,0.031,0.234,0.031,0,0.296,0.096893,-0.06546,1.45767,-0.758057,0.141144,1.267,normal,0.148,0.086,0.204,0.234,0.383,
5,0.031,0.048,0.056,0.007,0.052,0.027,0.082,0.123,0.031,0,0.236,0.069428,-0.014496,0.966949,-0.608826,0.100403,0.988,stroke,0.135,0.056,0.224,0.123,0.322
32,0.055,0.043,0.122,0.007,0.053,0.051,0.003,0.243,0.033,0,0.279,0.085602,-0.024109,0.647278,-0.112457,0.10498,0.797,stroke,0.22,0.122,0.236,0.243,0.39
0.035,0.066,0.058,0.014,0.033,0.028,0.2,,0.2,0,0.238,0.073242,-0.062714,1.93359,-0.654602,0.070801,1.161,normal,0.159,0.058,0.333,,,
56,0.031,0.045,0.058,0.006,0.049,0.03,0.071,0.11,0.046,0,0.227,0.079041,-0.02655,1.28128,-0.63797,0.178223,1.025,stroke,0.134,0.058,0.214,0.11,0.312
24,0.03,0.031,0.087,0.003,0.057,0.013,0.004,0.141,0.031,0,0.176,0.016785,0.003052,0.033569,-0.012207,0.015259,0.76,stroke,0.148,0.087,0.164,0.141,0.249
15,0.03,0.049,0.08,0.001,0.059,0.025,0.132,0.038,0.051,0,0.221,0.061188,-0.026703,1.46912,-0.668182,0.057678,1.07,stroke,0.159,0.08,0.297,0.038,0.306
0.038,0.035,0.049,0.001,0.06,0.03,0.082,0.102,0.073,0,0.257,0.073395,-0.026093,0.740814,-0.393066,0.15152,1.039,normal,0.122,0.049,0.222,0.102,0.348,
0.031,0.032,0.067,0.011,0.027,0.027,0.009,0.211,0.031,0,0.251,0.067749,-0.094757,0.900421,-0.278015,0.1828,0.847,normal,0.13,0.067,0.141,0.211,0.316,
0.039,0.032,0.074,0.017,0.027,0.021,0.065,0.117,0.064,0,0.246,0.077972,-0.084839,0.990295,-0.482788,0.246735,0.935,normal,0.145,0.074,0.204,0.117,0.311,
0.039,0.073,0.024,0.001,0.059,0.032,0.057,0.131,0.06,0,0.248,0.09751,-0.066231,0.526702,-0.42744,0.132048,0.927,normal,0.136,0.024,0.173,0.131,0.34,
0.037,0.031,0.127,0.016,0.027,0.021,0.069,0.105,0.031,0,0.205,0.048828,-0.087585,1.40778,-0.61264,0.097351,0.804,normal,0.195,0.127,0.26,0.105,0.269,
0.031,0.059,0.049,0.012,0.03,0.03,0.14,0.022,0.091,0,0.253,0.109863,-0.09491,1.66046,-0.532684,0.19577,1.03,normal,0.139,0.049,0.261,0.022,0.325,
0.042,0.032,0.131,0.008,0.029,0.025,0.06,0.14,0.071,0,0.271,0.063782,-0.063019,0.78537,-0.366669,0.21637,0.995,normal,0.205,0.131,0.253,0.14,0.333,
1,0.057,0.048,0.028,0.001,0.058,0.025,0.07,0.029,0.132,0,0.231,0.075115,-0.028312,1.61298,-0.69037,0.271381,0.799,stroke,0.133,0.028,0.182,0.029,0.315
0.03,0.03,0.053,0.008,0.058,0.025,0.027,0.152,0.03,0,0.209,0.101929,-0.089569,0.685883,-0.652161,0.289917,0.782,normal,0.113,0.053,0.171,0.152,0.3,
0.039,0.04,0.045,0.014,0.021,0.017,0.013,0.193,0.049,0,0.255,0.063629,-0.064392,0.413055,-0.13504,0.158997,0.908,normal,0.124,0.045,0.11,0.193,0.307,
41,0.062,0.062,0.014,0.01,0.031,0.029,0.064,0.18,0.052,0,0.296,0.110168,-0.115814,0.673218,-0.597076,0.144348,0.777,stroke,0.138,0.014,0.148,0.18,0.366
0.033,0.063,0.001,0.001,0.059,0.031,0.093,0.075,0.048,0,0.216,0.154266,-0.078125,1.07391,-0.628204,0.181122,0.936,normal,0.097,0.001,0.185,0.075,0.307,
0.036,0.045,0.071,0.002,0.06,0.025,0.059,0.13,0.04,0,0.229,0.048981,-0.021973,0.714569,-0.4245,0.144348,0.927,normal,0.152,0.071,0.217,0.13,0.316,
0.035,0.091,0.005,0.05,0.027,0.066,0.118,0.032,0,0.216,0.068512,-0.036316,1.39069,-0.853424,0.146179,0.942,normal,0.163,0.091,0.239,0.118,0.298,,
38,0.031,0.031,0.058,0.001,0.058,0.028,0.045,0.154,0.042,0,0.241,0.104828,-0.043945,0.674286,-0.53299,0.124512,0.983,stroke,0.12,0.058,0.19,0.154,0.328
0.031,0.031,0.088,0.009,0.03,0.05,0.031,0.116,0.031,0,0.178,0.062408,-0.067139,0.985565,-0.305328,0.078278,0.787,stroke,0.15,0.088,0.208,0.116,0.267,
42,0.044,0.045,0.032,0.001,0.059,0.028,0.055,0.149,0.031,0,0.235,0.0914,-0.08255,1.26785,-0.704041,0.101471,0.963,stroke,0.121,0.032,0.175,0.149,0.323
96,0.032,0.058,0.241,0.014,0.027,0.027,0.155,0.34,0.031,0,0.526,0.08606,-0.099487,1.51917,-0.552673,1.60019,0.549,stroke,0.331,0.241,0.464,0.34,0.594
2,0.031,0.033,0.077,0.001,0.059,0.022,0.078,0.25,0.047,0,0.375,0.063477,-0.03479,1.5271,-0.801697,0.10498,1.297,stroke,0.141,0.077,0.237,0.25,0.457
11,0.032,0.05,0.25,0.013,0.026,0.027,0.158,0.342,0.031,0,0.531,0.091705,-0.103455,1.63757,-0.642548,1.62491,0.557,stroke,0.332,0.25,0.474,0.342,0.597
0.036,0.042,0.049,0.001,0.06,0.028,0.083,0.054,0.073,0,0.21,0.073547,-0.013123,0.905151,-0.444641,0.100403,0.85,stroke,0.127,0.049,0.221,0.054,0.299,
52,0.037,0.031,0.124,0.012,0.029,0.031,0.132,0.001,0.096,0,0.229,0.048981,-0.055389,1.40488,-0.532532,0.105133,0.826,stroke,0.192,0.124,0.328,0.001,0.301
57,0.031,0.047,0.078,0.001,0.06,0.03,0.089,0.01,0.114,0,0.213,0.073547,-0.00946,1.03424,-0.30014,0.21759,1.077,stroke,0.156,0.078,0.258,0.01,0.304
61,0.038,0.055,0.053,0.005,0.035,0.032,0.044,0.125,0.04,0,0.209,0.048523,-0.075684,0.429993,-0.576477,0.087891,0.709,stroke,0.146,0.053,0.169,0.125,0.281
35,0.031,0.031,0.084,0.002,0.06,0.026,0.029,0.207,0.032,0,0.268,0.039825,-0.041351,0.720825,-0.305328,0.087891,1.001,stroke,0.146,0.084,0.201,0.207,0.356
0.031,0.081,0.002,0.05,0.028,0.062,0.122,0.039,0,0.223,0.043335,-0.034027,0.97229,-0.488281,0.134277,0.841,normal,0.146,0.081,0.223,0.122,0.303,,
23,0.034,0.049,0.042,0.001,0.059,0.028,0.052,0.152,0.056,0,0.26,0.087891,-0.039825,0.678864,-0.457001,0.100098,1.073,stroke,0.125,0.042,0.182,0.152,0.348
0.031,0.033,0.08,0.012,0.028,0.039,0.131,0.001,0.041,0,0.173,0.056305,-0.109558,1.47278,-0.501251,0.107422,0.726,stroke,0.144,0.08,0.29,0.001,0.252,
33,0.052,0.031,0.076,0.001,0.06,0.022,0.061,0.182,0.03,0,0.273,0.046692,-0.011444,0.671539,-0.345306,0.073853,0.918,stroke,0.159,0.076,0.22,0.182,0.356
0.031,0.03,0.263,0.008,0.03,0.029,0.036,0.235,0.046,0,0.317,0.019989,-0.007019,0.733643,-0.532074,0.071259,1.143,stroke,0.324,0.263,0.366,0.235,0.384,
0.042,0.036,0.127,0.01,0.028,0.031,0.061,0.146,0.057,0,0.264,0.058899,-0.057678,0.918732,-0.2771,0.110168,1.04,normal,0.205,0.127,0.257,0.146,0.333,
48,0.071,0.05,0.094,0.001,0.032,0.026,0.016,0.194,0.038,0,0.248,0.051575,-0.033875,0.638123,-0.189972,0.100098,0.735,stroke,0.215,0.094,0.169,0.194,0.307
0.042,0.082,0.168,0.01,0.03,0.032,0.078,0.114,0.033,0,0.225,0.114899,0.015259,0.980377,-0.574493,0.10788,0.553,normal,0.292,0.168,0.318,0.114,0.297,
48,0.047,0.031,0.162,0.001,0.029,0.026,0.035,0.007,0.036,0,0.078,0.06134,-0.041351,0.834198,-0.591431,0.131989,1.076,stroke,0.24,0.162,0.253,0.007,0.134
0.036,0.043,0.085,0.001,0.059,0.024,0.084,0.061,0.054,0,0.199,0.063629,-0.045929,1.27426,-0.766907,0.119171,0.729,normal,0.164,0.085,0.253,0.061,0.283,
0.037,0.052,0.018,0.031,0.026,0.151,0.001,0.094,0,0.246,0.071106,-0.106964,1.9104,-0.622711,0.208435,0.822,normal,0.136,0.052,0.278,0.001,0.321,,
0.035,0.041,0.077,0.009,0.03,0.027,0.08,0.047,0.126,0,0.253,0.092621,-0.036163,0.85083,-0.374603,0.28595,0.954,normal,0.153,0.077,0.223,0.047,0.319,
67,0.049,0.059,0.022,0.001,0.059,0.033,0.028,0.118,0.035,0,0.181,0.066223,-0.056305,0.674896,-0.285339,0.046692,0.825,stroke,0.13,0.022,0.143,0.118,0.274
56,0.048,0.03,0.122,0.023,0.023,0.041,0.001,0.188,0.032,0,0.221,0.063629,-0.126648,0.822296,-0.141602,0.085754,0.833,stroke,0.2,0.122,0.21,0.188,0.308
64,0.041,0.031,0.06,0.013,0.035,0.024,0.041,0.031,0.083,0,0.155,0.03479,-0.002289,0.683289,-0.395203,0.102844,0.865,stroke,0.132,0.06,0.173,0.031,0.227
0.059,0.068,0.027,0.013,0.033,0.051,0.183,,0.192,0,0.192,0.168457,-0.16098,1.20529,-0.33493,0.090485,0.846,normal,0.154,0.027,0.307,,,
0.033,0.067,0.058,0.009,0.028,0.031,0.112,0.081,0.081,0,0.274,0.067291,-0.042572,1.15585,-0.596466,0.164795,1.071,normal,0.158,0.058,0.238,0.081,0.342,
6,0.032,0.048,0.014,0.001,0.06,0.031,0.199,,0.199,0,0.21,0.100098,-0.069428,1.20789,-0.703888,0.13443,0.734,stroke,0.094,0.014,0.305,,
0.031,0.061,0.053,0.018,0.03,0.038,0.015,0.006,0.193,0,0.214,0.095367,-0.131073,1.16089,-0.258789,0.215454,1.045,normal,0.145,0.053,0.154,0.006,0.3,
0.055,0.05,0.014,0.027,0.043,0.053,0.14,0.053,0,0.246,0.144348,-0.145721,1.14212,-0.36911,0.176086,0.949,normal,0.154,0.05,0.187,0.14,0.33,,
39,0.041,0.043,0.015,0.001,0.06,0.031,0.097,0.026,0.08,0,0.203,0.11261,-0.066528,1.17523,-0.691376,0.141907,0.734,stroke,0.099,0.015,0.204,0.026,0.295
0.049,0.034,0.06,0.001,0.06,0.024,0.032,0.149,0.041,0,0.222,0.085602,-0.063171,0.288239,-0.353851,0.122375,0.749,normal,0.143,0.06,0.177,0.149,0.307,
61,0.031,0.03,0.078,0.005,0.053,0.03,0.048,0.001,0.167,0,0.216,0.010681,-0.031433,1.18256,-0.41214,0.185699,0.709,stroke,0.139,0.078,0.214,0.001,0.304
0.031,0.048,0.085,0.007,0.031,0.029,0.05,0.097,0.074,0,0.221,0.110321,-0.055847,1.38397,-0.812988,0.207825,0.735,normal,0.164,0.085,0.202,0.097,0.288,
70,0.059,0.058,0.044,0.001,0.06,0.027,0.042,0.175,0.032,0,0.249,0.143127,-0.080109,0.670776,-0.344086,0.115204,0.699,stroke,0.161,0.044,0.174,0.175,0.337
0.048,0.068,0.06,0.013,0.031,0.059,0.001,0.167,0.06,0,0.228,0.110168,-0.058441,0.976562,-0.261841,0.124817,1,normal,0.176,0.06,0.164,0.167,0.331,
0.044,0.056,0.009,0.03,0.021,0.045,0.104,0.095,0,0.244,0.095367,-0.036316,0.844269,-0.358734,0.271454,0.943,normal,0.142,0.056,0.161,0.104,0.304,,
0.037,0.041,0.038,0.001,0.059,0.027,0.052,0.12,0.06,0,0.232,0.037231,0.010071,0.772552,-0.302887,0.137177,0.815,normal,0.116,0.038,0.177,0.12,0.319,
20,0.041,0.043,0.049,0.016,0.029,0.048,0.004,0.024,0.199,0,0.227,0.097809,-0.109406,1.14914,-0.265961,0.219879,0.827,stroke,0.133,0.049,0.146,0.024,0.32
7,0.046,0.032,0.071,0.001,0.06,0.028,0.042,0.176,0.035,0,0.253,0.092163,-0.102539,0.702515,-0.351868,0.117493,0.907,stroke,0.149,0.071,0.202,0.176,0.342
37,0.051,0.053,0.044,0.002,0.057,0.026,0.027,0.156,0.045,0,0.228,0.070343,-0.068207,0.43808,-0.22171,0.149231,0.726,stroke,0.148,0.044,0.156,0.156,0.313
0.031,0.057,0.052,0.017,0.03,0.046,0.006,0.144,0.093,0,0.243,0.092621,-0.080261,0.889435,-0.253906,0.202942,0.97,normal,0.14,0.052,0.151,0.144,0.336,
0.03,0.03,0.069,0.009,0.043,0.025,0.042,0.152,0.03,0,0.224,0.112305,-0.053558,0.458069,-0.821075,0.202637,0.921,normal,0.129,0.069,0.188,0.152,0.301,
8,0.049,0.061,0.04,0.004,0.048,0.03,0.049,0.133,0.049,0,0.231,0.122528,-0.058441,0.633087,-0.427094,0.10025,0.915,stroke,0.15,0.04,0.171,0.133,0.313
0.046,0.032,0.042,0.001,0.059,0.031,0.112,0.077,0.066,0,0.255,0.048981,-0.027771,0.98587,-0.390625,0.112457,1.049,normal,0.12,0.042,0.245,0.077,0.346,
53,0.035,0.03,0.074,0.001,0.06,0.033,0.044,0.076,0.093,0.078,0.213,0.041656,-0.014954,1.04263,-0.341492,0.185852,0.702,stroke,0.139,0.074,0.212,0.076,0.385
0.047,0.057,0.009,0.031,0.026,0.014,0.164,0.048,0,0.226,0.087585,-0.065613,1.25916,-0.351715,0.084991,1.094,normal,0.138,0.057,0.137,0.164,0.292,,
19,0.03,0.048,0.059,0.001,0.059,0.026,0.037,0.165,0.03,0,0.232,0.073395,-0.030518,0.391388,-0.424805,0.052185,0.903,stroke,0.137,0.059,0.182,0.165,0.318
25,0.039,0.046,0.02,0.003,0.06,0.027,0.081,0.006,0.169,0,0.256,0.121613,-0.029907,1.36734,-0.558167,0.267029,0.922,stroke,0.105,0.02,0.191,0.006,0.346
0.033,0.034,0.066,0.012,0.027,0.035,0.014,0.174,0.046,0,0.234,0.083579,-0.056034,1.47878,-0.608051,0.138966,1.017,normal,0.133,0.066,0.154,0.174,0.308,
0.056,0.055,0.026,0.001,0.057,0.029,0.033,0.115,0.085,0,0.233,0.114725,-0.076163,0.603548,-0.362098,0.196282,0.724,normal,0.137,0.026,0.146,0.115,0.32,
0.031,0.041,0.065,0.001,0.058,0.027,0.027,0.231,0.031,0,0.289,0.061035,-0.031433,0.768127,-0.326996,0.129395,1.022,normal,0.137,0.065,0.178,0.231,0.375,
0.048,0.054,0.051,0.011,0.03,0.032,0.051,0.12,0.06,0,0.231,0.136719,-0.097504,1.1319,-0.495148,0.298004,0.938,normal,0.153,0.051,0.175,0.12,0.304,
0.03,0.03,0.096,0.003,0.058,0.039,0.022,0.202,0.037,0,0.261,0.091646,-0.021963,0.95807,-0.458516,0.216703,0.885,normal,0.156,0.096,0.218,0.202,0.361,
0.042,0.031,0.053,0.01,0.028,0.021,0.01,0.217,0.031,0,0.258,0.094757,-0.055542,0.77652,-0.192261,0.158386,1.103,normal,0.126,0.053,0.122,0.217,0.317,
0.041,0.03,0.075,0.003,0.054,0.029,0.076,0.122,0.044,0,0.242,0.068054,-0.007019,0.726471,-0.410156,0.107269,1.012,normal,0.146,0.075,0.237,0.122,0.328,
0.033,0.04,0.092,0.001,0.059,0.023,0.043,0.154,0.071,0,0.268,0.073242,-0.023956,0.46402,-0.432434,0.171204,0.905,normal,0.165,0.092,0.218,0.154,0.351,
0.056,0.044,0.08,0.009,0.029,0.029,0.015,0.177,0.031,0,0.223,0.085144,-0.070953,0.822449,-0.288239,0.092926,0.787,normal,0.18,0.08,0.162,0.177,0.29,
0.066,0.033,0.004,0.055,0.023,0.04,0.163,0.047,0,0.25,0.061418,-0.031595,0.767478,-0.739414,0.160097,0.857,normal,0.157,0.033,0.155,0.163,0.332,,
0.042,0.09,0.009,0.025,0.024,0.027,0.183,0.033,0,0.243,0.114746,-0.044861,0.924225,-0.365906,0.193329,0.925,normal,0.176,0.09,0.175,0.183,0.301,,
0.031,0.031,0.086,0.008,0.054,0.022,0.02,0.231,0.031,0,0.282,0.100098,-0.043335,1.39923,-0.72052,0.133972,1.312,normal,0.148,0.086,0.19,0.231,0.366,
3,0.031,0.051,0.055,0.001,0.054,0.027,0.142,0.031,0.071,0,0.244,0.063629,-0.014648,1.01593,-0.611877,0.117493,0.977,stroke,0.137,0.055,0.279,0.031,0.326
30,0.045,0.041,0.12,0.001,0.06,0.043,0.007,0.252,0.034,0,0.293,0.093231,-0.018921,0.657654,-0.106964,0.093079,0.816,stroke,0.206,0.12,0.231,0.252,0.397
0.042,0.068,0.051,0.015,0.034,0.027,0.2,,0.2,0,0.245,0.08316,-0.055695,1.83929,-0.620422,0.068817,1.18,normal,0.161,0.051,0.327,,,
55,0.044,0.04,0.058,0.006,0.059,0.029,0.108,0.068,0.047,0,0.223,0.082703,-0.026398,1.33957,-0.664062,0.182953,1.025,stroke,0.142,0.058,0.26,0.068,0.317
22,0.032,0.031,0.221,0.002,0.058,0.016,0.003,0.153,0.031,0,0.187,0.013733,0.001526,0.030518,-0.015259,0.015259,0.752,stroke,0.284,0.221,0.3,0.153,0.263
14,0.033,0.049,0.08,0.002,0.059,0.026,0.097,0.094,0.03,0,0.221,0.061188,-0.02182,1.57089,-0.71228,0.051575,1.072,stroke,0.162,0.08,0.264,0.094,0.308
0.048,0.031,0.049,0.001,0.06,0.031,0.057,0.172,0.033,0,0.262,0.071259,-0.026093,0.913696,-0.434723,0.156403,1.023,normal,0.128,0.049,0.198,0.172,0.354,
0.031,0.042,0.193,0.005,0.021,0.029,0.01,0.203,0.031,0,0.244,0.173492,-0.099793,0.859222,-0.226746,0.179749,0.536,normal,0.266,0.193,0.258,0.203,0.299,
0.031,0.043,0.068,0.012,0.026,0.027,0.073,0.128,0.037,0,0.238,0.055695,-0.102234,1.10901,-0.462341,0.227051,0.934,normal,0.142,0.068,0.206,0.128,0.303,
